WS-#,Site,Time,Date,pH,Type,deep C screen,Na mg/L,Mg mg/L,Al mg/L,Si mg/L,K mg/L,Ca mg/L,Mn mg/L,Fe mg/L,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L
796,T1,NA,2012-04-24T00:00:00Z,5.37,G3,NA,0.62,0.11,0.08,2.23,0.04,0.51,0.01,0.02,0.03,0.34,0.14,2.36,0.91,0.1,NA,NA,NA
848,T1,NA,2012-08-10T00:00:00Z,4.96,G3,NA,0.68,0.15,0.41,3.47,0.14,0.62,0.02,0.22,0.04,0.36,0.81,2.64,1.28,0.19,NA,NA,NA
1129,H5,12:00:00,2013-03-12T00:00:00Z,5.89,G4,NA,1.03,0.29,0.56,3.09,0.21,0.78,0.01,0.35,0.04,0.7,0.18,3.46,1.77,0.15,0.009,0.028,NA
1128,H5,12:00:00,2013-03-12T00:00:00Z,4.91,G4,NA,0.5,0.04,0.2,1.64,0.02,0.34,0.01,0.02,0.07,0.47,0.89,2.3,1.22,0.28,0.003,0.155,NA
187,I3,NA,2010-03-25T00:00:00Z,5.12,G4,NA,1.02,0.16,0.09,2.25,0.1,0.49,0.01,0.01,0.03,0.27,0.08,2.57,1.21,0.11,NA,NA,NA
377,I3,NA,2010-06-28T00:00:00Z,5.02,G4,NA,0.85,0.19,0.2,2.42,0.11,0.73,0.01,0.02,0.03,0.28,0,2.39,3.07,0.13,NA,NA,NA
381,I3,NA,2010-07-14T00:00:00Z,4.98,G4,NA,1.09,0.21,0.1,2.71,0.16,0.82,0.02,0.02,0.07,0.4,0.05,3.53,1.51,0.12,NA,NA,NA
476,I3,NA,2010-09-30T00:00:00Z,5.12,G4,NA,1.01,0.2,0.15,2.74,0.09,0.78,0.02,0.02,0.05,0.28,0,3.09,1.71,0.09,NA,NA,NA
611,I3,NA,2011-04-08T00:00:00Z,5.14,G4,NA,0.95,0.2,0.12,2.43,0.03,0.59,0.01,0.02,0.03,0.48,0.09,3.25,1.19,0.07,NA,NA,NA
621,I3,NA,2011-04-14T00:00:00Z,5.39,G4,NA,0.73,0.16,0.17,2.02,0.1,0.5,0.01,0.02,0.03,0.37,0.38,2.83,1.91,0.16,NA,NA,NA
646,I3,NA,2011-05-24T00:00:00Z,5.02,G4,NA,0.96,0.18,0.26,2.89,0.1,0.53,0.01,0.11,0.02,0.38,0.01,2.9,1.4,0.08,NA,NA,NA
671,I3,NA,2011-08-16T00:00:00Z,5.04,G4,NA,1.04,0.22,0.15,2.63,0.21,0.87,0.02,0.02,0.04,0.22,0.04,4.11,2.49,0.14,NA,NA,NA
188,I6,NA,2010-03-25T00:00:00Z,5.34,G4,NA,1.16,0.27,0.13,3.41,0.45,1.05,0.05,0.02,0.03,0.25,0.05,3.83,1.98,0.12,NA,NA,NA
376,I6,NA,2010-06-28T00:00:00Z,5.19,G4,NA,1.15,0.43,0.45,4.07,0.55,1.65,0.06,0.24,0.04,0.31,0.47,3.93,3.36,0.25,NA,NA,NA
382,I6,NA,2010-07-14T00:00:00Z,5.28,G4,NA,1.23,0.39,0.47,4.51,0.41,1.5,0.06,0.29,0.06,0.36,0,5.01,2.6,0.13,NA,NA,NA
460,I6,NA,2010-08-26T00:00:00Z,5.56,G4,NA,1.3,0.46,0.39,4.83,0.51,1.84,0.07,0.25,0.06,0.47,0,4.99,3.26,0.09,NA,NA,NA
477,I6,NA,2010-09-30T00:00:00Z,5.4,G4,NA,0.86,0.39,0.44,4,0.46,1.57,0.06,0.23,0.05,0.53,0.02,4.58,3.75,0.15,NA,NA,NA
612,I6,NA,2011-04-08T00:00:00Z,5.13,G4,NA,0.94,0.27,0.25,3.02,0.27,1.1,0.02,0.11,0.02,0.45,0.38,4.01,2.26,0.17,NA,NA,NA
625,I6,NA,2011-04-14T00:00:00Z,5.24,G4,NA,0.78,0.26,0.37,2.9,0.79,1.13,0.02,0.16,0.03,0.38,0.03,3.65,3.52,0.12,NA,NA,NA
650,I6,NA,2011-05-24T00:00:00Z,5.38,G4,NA,1.16,0.3,0.23,4.06,0.26,1.41,0.01,0.07,0.02,0.32,0.08,2.8,3.1,0.16,NA,NA,NA
667,I6,NA,2011-08-16T00:00:00Z,5.33,G4,NA,0.94,0.47,0.4,4.38,0.8,2.54,0.03,0.09,0.01,0.34,0.1,4.39,8.21,0.28,NA,NA,NA
1132,I6,12:20:00,2013-03-12T00:00:00Z,5.23,G4,NA,0.52,0.13,0.35,2.8,0.11,0.57,0.01,0.02,0.07,0.48,0.08,1.46,NA,NA,0.005,NA,NA
1228,I6,13:30:00,2013-03-13T00:00:00Z,4.47,G4,NA,0.73,0.21,0.29,2.76,0.18,1.03,0.01,0.1,0.05,0.68,0.65,2.84,4.11,0.25,0.003,0.101,0.077
1673,I6,NA,2013-04-01T00:00:00Z,5.31,G4,NA,0.82,0.22,0.31,3.04,0.16,1.11,0.01,0.1,0.04,0.37,0.21,2.55,5.31,0.19,0.003,0.116,NA
11,JD14,NA,2009-07-10T00:00:00Z,4.81,G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.27,0,2.67,2.84,0.17,NA,NA,NA
378,JD14,NA,2010-06-28T00:00:00Z,4.82,G4,NA,0.66,0.06,0.33,1.88,0.11,0.28,0.03,0.09,0.01,0.27,0.13,2.73,3.41,0.17,NA,NA,NA
604,JD14,NA,2011-04-07T00:00:00Z,4.98,G4,NA,0.68,0.12,0.4,2.09,0.08,0.4,0.02,0.14,0.05,0.45,2.03,2.56,2.21,0.52,NA,NA,NA
638,JD14,NA,2011-04-14T00:00:00Z,4.67,G4,NA,0.75,0.15,0.63,1.96,0.07,0.48,0.01,0.11,0.04,0.4,2.94,2.05,3.24,0.82,NA,NA,NA
663,JD14,NA,2011-05-24T00:00:00Z,4.94,G4,NA,0.69,0.13,0.62,2.69,0.11,0.38,0.03,0.22,0.03,0.39,1.59,2.5,2.86,0.45,NA,NA,NA
689,JD14,NA,2011-08-16T00:00:00Z,5.19,G4,NA,1.21,0.29,1.89,8.23,0.34,0.4,0.03,0.83,0.02,0.15,0.52,2.53,5.6,0.32,NA,NA,NA
1064,JD14,10:10:00,2013-03-11T00:00:00Z,4.95,G4,NA,0.68,0.1,0.5,2.08,0.1,0.41,0.02,0.11,0.09,0.62,3.73,2.27,2.43,0.94,0.006,0.339,0.058
1124,JD14,10:00:00,2013-03-12T00:00:00Z,4.99,G4,NA,0.69,0.1,0.37,1.97,0.11,0.47,0.03,0.16,0.07,0.74,3.45,2.4,2.18,0.91,0.003,0.202,NA
1123,JD14,10:00:00,2013-03-12T00:00:00Z,4.79,G4,NA,0.62,0.06,0.64,1.44,0.02,0.19,0.01,0.02,0.09,0.64,3.28,1.93,1.45,0.89,0.003,0.568,NA
1122,JD14,10:00:00,2013-03-12T00:00:00Z,4.34,G4,NA,0.74,0.12,1.44,2.99,0.02,0.29,0.01,0.06,0.1,0.4,13.11,1.26,2.82,3.09,0.003,1.006,NA
1200,JD14,11:00:00,2013-03-13T00:00:00Z,4.61,G4,NA,0.69,0.15,0.95,2.09,0.1,0.51,0.01,0.06,0.09,0.71,7.23,1.76,2.87,1.69,0.003,0.767,0.095
1380,JD14,NA,2013-03-27T00:00:00Z,5.31,G4,NA,0.72,0.1,0.08,2.03,0.11,0.53,0.03,0.09,0.07,0.52,3.28,2.12,NA,NA,NA,0.172,NA
1641,JD14,NA,2013-04-01T00:00:00Z,4.77,G4,NA,0.72,0.13,0.76,2.06,0.13,0.41,0.01,0.06,0.03,0.48,6.03,1.51,2.51,1.44,0.003,0.692,NA
676,K8,NA,2011-08-16T00:00:00Z,5.89,G4,NA,2.45,0.72,0.8,6.84,1.34,2.95,0.28,0.62,0.03,0.73,2.05,3.9,1.23,0.58,NA,NA,NA
886,K8,11:23:00,2012-10-29T00:00:00Z,5.44,G4,NA,1.14,0.29,0.57,4.02,0.42,1.26,0.02,0.38,0.03,0.4,0.04,3.11,0.94,0.08,0.079,0.123,0.108
905,K8,11:30:00,2012-10-30T00:00:00Z,5.43,G4,NA,1.2,0.26,0.26,3.89,0.29,1.31,0.01,0.18,0.07,0.41,0.05,3.08,0.92,0.1,0.012,0.021,0.014
1075,K8,11:30:00,2013-03-11T00:00:00Z,5.76,G4,NA,1.68,0.85,3.58,NA,1.94,1.5,0.06,2.57,0.06,0.43,0.39,3.79,0.59,0.11,0.003,0.011,0.009
1120,K8,11:20:00,2013-03-12T00:00:00Z,5.67,G4,NA,1.17,0.34,0.48,4.41,0.35,1.38,0.01,0.4,0.07,0.47,0.33,3.84,0.7,0.1,0.003,0.016,NA
1119,K8,11:30:00,2013-03-12T00:00:00Z,5.22,G4,NA,0.74,0.12,0.15,2.3,0.09,0.42,0.01,0.02,0.07,0.32,0.03,2.34,2.39,0.09,0.003,0.081,NA
1118,K8,11:30:00,2013-03-12T00:00:00Z,4.92,G4,NA,0.47,0.08,0.81,3.83,0.01,0.68,0.01,0.05,0.16,0.31,0.03,2.47,6.9,0.18,0.003,0.467,NA
1222,K8,12:35:00,2013-03-13T00:00:00Z,5.54,G4,NA,1.07,0.24,0.16,3.54,0.18,1.09,0.01,0.12,0.04,0.46,0.32,3.42,0.99,0.1,0.003,0.018,0.011
1366,K8,NA,2013-03-27T00:00:00Z,5.68,G4,NA,1.22,0.33,0.44,4.53,0.39,1.23,0.04,0.43,0.03,0.43,0.47,3.49,0.58,0.17,0.003,0.015,NA
1661,K8,NA,2013-04-01T00:00:00Z,5.56,G4,NA,1.25,0.33,0.36,4.48,0.35,1.42,0.03,0.3,0.02,0.37,0.46,3.42,0.61,0.15,0.003,0.017,NA
1933,K8,NA,2013-04-11T00:00:00Z,NA,G4,NA,1.27,0.37,0.31,4.77,0.42,1.71,0.01,0.24,0.03,0.35,1.32,3.55,0.36,0.33,0.003,0.022,NA
2121,K8,NA,2013-06-28T00:00:00Z,5.83,G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.38,1,3.41,0.49,0.29,NA,NA,NA
2391,K8,NA,2013-08-20T00:00:00Z,6.2,G4,NA,1.79,0.32,0.08,4.95,0.71,1.73,0.06,0.08,0.05,0.46,0.87,3.61,0.75,0.29,0.016,0.008,0.004
2409,K8,NA,2013-09-03T00:00:00Z,6.04,G4,NA,1.72,0.34,0.06,5.37,0.63,1.9,0.04,0.05,0.04,0.36,0.7,3.62,0.44,0.19,0.003,0.009,0.005
2435,K8,14:25:00,2013-11-07T00:00:00Z,5.78,G4,NA,1.69,0.36,0.06,5.01,0.55,2,0.02,0.11,0.04,0.3,0.24,3.33,0.86,0.09,NA,NA,NA
2460,K8,NA,2014-06-06T00:00:00Z,5.84,G4,NA,1.35,0.29,0.03,4.64,0.37,1.67,0.01,0.02,0.04,0.42,0.5,3.5,0.48,0.2,0.003,NA,NA
2474,K8,NA,2014-06-13T00:00:00Z,5.88,G4,NA,1.3,0.3,0.03,3.89,0.37,1.5,0.02,0.04,0.05,0.51,0.34,3.33,0.73,0.15,0.003,0.014,0.01
2514,K8,NA,2014-06-14T00:00:00Z,5.84,G4,NA,1.33,0.29,0.03,4.41,0.37,1.62,0.01,0.02,0.03,0.47,0.32,3.41,0.5,0.1,0.003,0.01,0.003
2558,K8,NA,2014-06-16T00:00:00Z,6.51,G4,NA,1.44,0.26,0.03,3.54,0.37,1.45,0.01,0.02,0.06,0.61,0.08,3.06,0.81,0.07,0.003,0.008,0.004
2601,K8,13:55:00,2014-07-16T00:00:00Z,5.76,G4,NA,1.56,0.32,0.04,5.01,0.46,1.96,0.03,0.06,0.05,0.45,0.19,3.62,0.5,0.12,0.003,0.03,0.023
2668,K8,10:15:00,2014-09-22T00:00:00Z,5.99,G4,NA,1.58,0.35,0.18,5.24,0.55,2.01,0.06,0.21,0.04,0.38,0.26,3.61,0.53,0.09,0.007,0.01,0.007
2669,K8,11:15:00,2014-09-22T00:00:00Z,6.06,G4,NA,1.55,0.34,0.18,5.25,0.55,1.97,0.05,0.2,0.05,0.38,0.41,3.56,0.4,0.11,0.003,0.008,0.006
2670,K8,12:13:00,2014-09-22T00:00:00Z,6.09,G4,NA,1.55,0.33,0.13,5.15,0.51,1.95,0.03,0.12,0.04,0.38,0.47,3.66,0.36,0.11,0.003,0.007,0.007
375,D1,NA,2010-06-28T00:00:00Z,4.83,G5,NA,0.76,0.2,0.46,2.66,0.14,0.97,0.08,0.07,0.02,0.28,0.12,3.2,5.71,0.22,NA,NA,NA
463,D1,NA,2010-08-26T00:00:00Z,4.95,G5,NA,1,0.19,0.36,2.93,0.12,0.72,0.02,0.09,0.06,0.41,0.05,4.32,3.14,0.15,NA,NA,NA
481,D1,NA,2010-09-30T00:00:00Z,4.69,G5,NA,0.87,0.18,0.56,3.54,0.07,0.76,0.01,0.05,0.04,0.42,0.05,4.19,7.01,0.25,NA,NA,NA
603,D1,NA,2011-04-07T00:00:00Z,4.89,G5,NA,0.7,0.17,0.33,2.36,0.08,0.51,0.01,0.05,0.05,0.45,0.46,3.28,2.29,0.16,NA,NA,NA
639,D1,NA,2011-04-14T00:00:00Z,4.91,G5,NA,0.59,0.16,0.37,1.85,0.17,0.49,0.01,0.05,0.04,0.35,1.07,2.38,3.08,0.38,NA,NA,NA
653,D1,NA,2011-05-24T00:00:00Z,4.84,G5,NA,1.05,0.22,0.17,2.98,0.07,0.8,0.01,0.08,0.04,0.39,0.02,3.64,0.43,0.05,NA,NA,NA
688,D1,NA,2011-08-16T00:00:00Z,4.74,G5,NA,0.91,0.13,0.37,2.94,0.2,0.62,0.01,0.05,0.03,0.2,0.03,4,3.88,0.13,NA,NA,NA
727,D1,NA,2011-11-07T00:00:00Z,5.05,G5,NA,0.67,0.14,0.33,2.75,0.08,0.5,0.01,0.07,0.05,0.31,0.04,3.2,2.89,0.11,NA,NA,NA
748,D1,NA,2012-02-02T00:00:00Z,5.04,G5,NA,0.76,0.16,0.29,2.45,0.05,0.51,0.01,0.02,0.04,0.3,0.53,3.1,2.12,0.19,NA,NA,NA
768,D1,NA,2012-03-22T00:00:00Z,4.91,G5,NA,0.78,0.17,0.39,2.54,0.12,0.57,0.01,0.02,0.05,0.3,1.65,2.71,2.39,0.46,NA,NA,NA
808,D1,NA,2012-04-24T00:00:00Z,4.94,G5,NA,0.73,0.17,0.3,2.85,0.33,0.54,0.01,0.02,0.02,0.56,0.99,2.57,2.63,0.33,NA,NA,NA
846,D1,NA,2012-08-10T00:00:00Z,4.98,G5,NA,0.76,0.12,0.39,2.77,0.09,0.59,0.01,0.06,0.04,0.31,0.02,3.31,5.75,0.23,NA,NA,NA
1082,D1,13:00:00,2013-03-11T00:00:00Z,5.02,G5,NA,0.8,0.18,0.41,2.85,0.11,0.46,0.01,0.13,0.06,0.49,0.67,3.21,2.43,0.21,0.005,0.175,0.059
1135,D1,13:00:00,2013-03-12T00:00:00Z,4.92,G5,NA,0.79,0.16,0.22,2.65,0.05,0.45,0.01,0.02,0.08,0.49,0.78,2.92,2.11,0.26,0.003,0.162,NA
1136,D1,13:00:00,2013-03-12T00:00:00Z,4.95,G5,NA,0.8,0.17,0.28,2.67,0.07,0.51,0.01,0.02,0.07,0.55,0.7,3.19,2.4,0.24,0.003,0.168,NA
1134,D1,13:00:00,2013-03-12T00:00:00Z,4.91,G5,NA,0.77,0.15,0.23,2.65,0.05,0.46,0.01,0.02,0.12,0.52,0.57,3.2,2.17,0.19,0.003,0.173,NA
1133,D1,13:00:00,2013-03-12T00:00:00Z,4.84,G5,NA,0.72,0.11,0.31,2.67,0.07,0.33,0.01,0.02,0.08,0.51,0.33,2.96,3.37,0.21,0.003,0.226,NA
1238,D1,14:30:00,2013-03-13T00:00:00Z,4.9,G5,NA,0.8,0.19,0.34,2.5,0.09,0.55,0.01,0.04,0.04,0.55,2.01,2.54,2.55,0.52,0.003,0.228,0.061
1238,D1,14:30:00,2013-03-13T00:00:00Z,4.9,G5,NA,0.8,0.19,0.34,2.5,0.09,0.55,0.01,0.04,0.09,0.56,2.01,2.55,2.55,0.52,0.003,0.228,NA
1318,D1,NA,2013-03-27T00:00:00Z,4.93,G5,NA,0.86,0.18,0.34,2.97,0.16,0.52,0.01,0.22,0.06,0.46,0.8,2.95,2.28,0.29,0.003,0.172,NA
1676,D1,NA,2013-04-01T00:00:00Z,4.94,G5,NA,0.8,0.19,0.37,2.85,0.08,0.5,0.01,0.08,0.03,0.43,0.93,2.77,2.33,0.31,0.003,0.189,NA
2387,D1,NA,2013-08-20T00:00:00Z,5.69,G5,NA,1.59,0.52,0.21,2.97,0.56,0.69,0.03,0.02,0.18,1.5,0.2,4.68,3.71,0.42,0.023,0.099,NA
2399,D1,NA,2013-09-03T00:00:00Z,5.05,G5,NA,1.27,0.2,0.31,3.09,0.11,0.61,0.01,0.02,0.05,0.47,0.67,3.1,3.31,0.28,0.003,0.186,0.069
2438,D1,13:50:00,2013-11-07T00:00:00Z,4.89,G5,NA,1.11,0.18,0.32,3.37,0.08,0.55,0.01,0.02,0.07,0.45,0.91,2.92,3.31,0.27,NA,NA,NA
2464,D1,NA,2014-06-13T00:00:00Z,4.9,G5,NA,0.98,0.2,0.34,2.6,0.12,0.57,0.01,0.02,0.07,0.72,1.24,2.56,2.63,0.38,0.003,0.16,0.052
2504,D1,NA,2014-06-14T00:00:00Z,5.03,G5,NA,0.9,0.21,0.31,2.47,0.12,0.53,0.01,0.02,0.05,0.51,1.2,2.61,2.7,0.37,0.003,NA,NA
2548,D1,NA,2014-06-16T00:00:00Z,4.89,G5,NA,0.88,0.19,0.34,2.51,0.12,0.5,0.01,0.02,0.08,0.58,1.21,2.64,2.84,0.36,0.003,0.234,0.06
2592,D1,11:15:00,2014-07-16T00:00:00Z,4.88,G5,NA,0.94,0.17,0.33,2.8,0.08,0.49,0.01,0.02,0.04,0.5,0.17,2.85,2.97,0.16,0.003,0.246,0.075
1130,H6,12:00:00,2013-03-12T00:00:00Z,5.05,G5,NA,0.57,0.13,0.13,3.04,0.11,0.31,0.01,0.02,0.09,0.75,0.04,1.95,2,0.08,0.003,0.079,NA
614,JD21,NA,2011-04-08T00:00:00Z,5.67,G5,NA,0.91,0.23,0.43,3.14,0.15,0.66,0.01,0.25,0.03,0.5,0.01,3.65,0.73,0.04,NA,NA,NA
627,JD21,NA,2011-04-14T00:00:00Z,5.12,G5,NA,0.89,0.2,0.06,2.38,0.03,0.71,0.01,0.02,0.02,0.46,0.13,3.65,0.5,0.07,NA,NA,NA
652,JD21,NA,2011-05-24T00:00:00Z,5.18,G5,NA,0.86,0.17,0.13,2.43,0.05,0.61,0.01,0.02,0.04,0.37,0,3.02,0.83,0.08,NA,NA,NA
685,JD21,NA,2011-08-16T00:00:00Z,5.4,G5,NA,1.28,0.27,0.19,3.39,0.18,1.06,0.01,0.11,0.02,0.45,0.15,3.18,0.95,0.07,NA,NA,NA
750,JD21,NA,2012-02-02T00:00:00Z,5.58,G5,NA,0.86,0.19,0.04,2.21,0.04,0.67,0.01,0.02,0.02,0.27,0.02,3.35,0.38,0.07,NA,NA,NA
770,JD21,NA,2012-03-22T00:00:00Z,6.32,G5,NA,1.04,0.22,0.05,2.57,0.04,0.73,0.01,0.02,0.02,0.3,0.17,3.56,0.58,0.09,NA,NA,NA
788,JD21,NA,2012-04-24T00:00:00Z,5.52,G5,NA,0.88,0.18,0.07,2.72,0.05,0.66,0.01,0.02,0.03,0.34,0,3.1,0.94,0.04,NA,NA,NA
844,JD21,NA,2012-08-10T00:00:00Z,4.85,G5,NA,0.77,0.24,0.54,2.68,0.11,0.83,0.01,0.11,0.05,0.27,0.05,2.3,8.42,0.23,NA,NA,NA
1223,JD21,13:15:00,2013-03-13T00:00:00Z,5.23,G5,NA,0.79,0.22,0.23,2.3,0.06,0.62,0.01,0.1,0.04,0.57,0.52,2.86,1.37,0.16,0.003,0.061,0.023
1312,JD21,NA,2013-03-27T00:00:00Z,5.92,G5,NA,1,0.44,1.82,5.64,0.67,0.69,0.03,1.18,0.02,0.45,0.17,3.57,1.29,0.11,0.003,0.02,NA
1667,JD21,NA,2013-04-01T00:00:00Z,5.61,G5,NA,0.94,0.28,0.61,3.21,0.17,0.74,0.01,0.37,0.02,0.4,0.14,3.21,0.88,0.07,0.003,0.03,NA
1951,JD21,NA,2013-04-11T00:00:00Z,NA,G5,NA,1.04,0.35,0.83,4.26,0.29,0.87,0.01,0.47,0.04,0.4,0.19,3.38,0.68,0.08,0.01,0.043,NA
2125,JD21,NA,2013-06-28T00:00:00Z,5.27,G5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.43,0,3.01,1,0.06,NA,NA,NA
616,JD24,NA,2011-04-08T00:00:00Z,5.39,G5,NA,1.3,0.35,0.67,4.75,0.13,0.9,0.02,0.39,0.03,0.4,0.12,3.78,2.1,0.09,NA,NA,NA
619,JD24,NA,2011-04-14T00:00:00Z,5.25,G5,NA,1.03,0.28,0.56,3.41,0.09,0.72,0.02,0.3,0.03,0.34,0.07,3.01,2.48,0.09,NA,NA,NA
644,JD24,NA,2011-05-24T00:00:00Z,5.47,G5,NA,1.28,0.47,1.8,6.26,0.47,0.93,0.04,1.16,0.03,0.35,0.01,3.22,2.66,0.09,NA,NA,NA
686,JD24,NA,2011-08-16T00:00:00Z,5.22,G5,NA,1.42,0.33,0.64,4.04,0.22,1.01,0.01,0.33,0.03,0.25,0.01,3.82,4.26,0.15,NA,NA,NA
615,JD25,NA,2011-04-08T00:00:00Z,5.63,G5,NA,1.67,0.46,0.6,5.34,0.37,1.32,0.01,0.4,0.03,0.48,0.08,4.46,1.19,0.09,NA,NA,NA
620,JD25,NA,2011-04-14T00:00:00Z,5.47,G5,NA,0.95,0.37,0.34,3.18,0.22,1.13,0.01,0.19,0.02,0.39,0,3.08,1.51,0.07,NA,NA,NA
