WINTER,Date,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
2016,2016-02-08,-99,57,-99,-99,-99,-99,-99,-99,78,-99,-99,-99,-99,-99,-99,-99,61,67,-99,-99,10
2016,2016-02-17,-99,59,-99,-99,-99,-99,-99,-99,95,-99,-99,-99,-99,-99,-99,-99,93,89,-99,-99,32
2016,2016-02-22,-99,61,-99,-99,-99,-99,-99,-99,90,-99,-99,-99,-99,-99,-99,-99,91,75,-99,-99,30
2016,2016-02-29,-99,28,-99,-99,-99,-99,-99,-99,37,-99,-99,-99,-99,-99,-99,-99,66,41,-99,-99,12
2016,2016-03-08,-99,39,-99,-99,-99,-99,-99,-99,67,-99,-99,-99,-99,-99,-99,-99,88,73,-99,-99,8
2016,2016-03-14,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,17,0,-99,-99,0
2016,2016-03-22,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,5,0,-99,-99,0
2016,2016-03-29,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2017,2016-12-13,-99,126,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,126,129,-99,-99,111
2017,2016-12-20,-99,135,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,126,131,-99,-99,122
2017,2017-01-04,-99,139,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,145,132,-99,-99,136
2017,2017-01-11,-99,164,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,154,168,-99,-99,135
2017,2017-01-17,-99,114,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,189,137,-99,-99,89
2017,2017-01-23,-99,136,-99,-99,-99,-99,-99,-99,179,-99,-99,-99,-99,-99,-99,-99,188,149,-99,-99,112
2017,2017-02-06,-99,163,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,216,177,-99,-99,96
2017,2017-02-14,-99,330,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,381,320,-99,-99,229
2017,2017-02-21,-99,271,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,323,281,-99,-99,163
2017,2017-02-27,-99,101,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,226,142,-99,-99,146
2017,2017-03-06,-99,73,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,205,138,-99,-99,110
2017,2017-03-13,-99,70,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,202,135,-99,-99,82
2017,2017-03-20,-99,107,-99,-99,-99,-99,-99,-99,221,-99,-99,-99,-99,-99,-99,-99,248,202,-99,-99,71
2017,2017-03-28,-99,117,-99,-99,-99,-99,-99,-99,268,-99,-99,-99,-99,-99,-99,-99,265,211,-99,-99,45
2017,2017-04-03,-99,179,-99,-99,-99,-99,-99,-99,353,-99,-99,-99,-99,-99,-99,-99,363,318,-99,-99,42
2017,2017-04-10,-99,115,-99,-99,-99,-99,-99,-99,234,-99,-99,-99,-99,-99,-99,-99,321,256,-99,-99,0
2017,2017-04-17,-99,0,-99,-99,-99,-99,-99,-99,14,-99,-99,-99,-99,-99,-99,-99,242,40,-99,-99,0
2017,2017-04-24,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,168,0,-99,-99,0
2017,2017-05-01,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,135,0,-99,-99,0
2017,2017-05-08,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2018,2017-12-11,-99,0.485,-99,-99,-99,-99,-99,-99,0.59,-99,-99,-99,-99,-99,-99,-99,0.6,0.63,-99,-99,-99
2018,2017-12-18,-99,0.985,-99,-99,-99,-99,-99,-99,1.2,-99,-99,-99,-99,-99,-99,-99,1.01,1.1,-99,-99,1.165
2018,2017-12-26,-99,2.07,-99,-99,-99,-99,-99,-99,2.65,-99,-99,-99,-99,-99,-99,-99,2.29,2.32,-99,-99,1.41
2018,2018-01-02,-99,1.8,-99,-99,-99,-99,-99,-99,2.65,-99,-99,-99,-99,-99,-99,-99,2.29,1.97,-99,-99,1.71
2018,2018-01-08,-99,2.14,-99,-99,-99,-99,-99,-99,2.68,-99,-99,-99,-99,-99,-99,-99,2.16,2.19,-99,-99,1.67
2018,2018-01-16,-99,0.77,-99,-99,-99,-99,-99,-99,1.2,-99,-99,-99,-99,-99,-99,-99,1.47,1.18,-99,-99,0.91
2018,2018-01-24,-99,0.945,-99,-99,-99,-99,-99,-99,1.08,-99,-99,-99,-99,-99,-99,-99,1.47,1.47,-99,-99,0.92
2018,2018-01-29,-99,0.95,-99,-99,-99,-99,-99,-99,1.12,-99,-99,-99,-99,-99,-99,-99,1.2,1.31,-99,-99,1.19
2018,2018-02-05,-99,1.67,-99,-99,-99,-99,-99,-99,2.13,-99,-99,-99,-99,-99,-99,-99,2.3,2.03,-99,-99,1.435
2018,2018-02-13,-99,2.04,-99,-99,-99,-99,-99,-99,2.76,-99,-99,-99,-99,-99,-99,-99,2.5,2.3,-99,-99,1.885
2018,2018-02-20,-99,1.5,-99,-99,-99,-99,-99,-99,2.45,-99,-99,-99,-99,-99,-99,-99,2.54,2.21,-99,-99,1.635
2018,2018-02-26,-99,0.86,-99,-99,-99,-99,-99,-99,1.73,-99,-99,-99,-99,-99,-99,-99,1.79,1.665,-99,-99,1.32
2018,2018-03-05,-99,0.56,-99,-99,-99,-99,-99,-99,1.54,-99,-99,-99,-99,-99,-99,-99,1.82,1.38,-99,-99,0.84
2018,2018-03-14,-99,1.45,-99,-99,-99,-99,-99,-99,2.51,-99,-99,-99,-99,-99,-99,-99,2.49,2.52,-99,-99,1.25
2018,2018-03-19,-99,1.45,-99,-99,-99,-99,-99,-99,2.51,-99,-99,-99,-99,-99,-99,-99,2.49,2.52,-99,-99,1.25
2018,2018-03-27,-99,0.68,-99,-99,-99,-99,-99,-99,1.97,-99,-99,-99,-99,-99,-99,-99,2.43,2.05,-99,-99,0.565
2018,2018-04-02,-99,0,-99,-99,-99,-99,-99,-99,1.82,-99,-99,-99,-99,-99,-99,-99,2.36,1.63,-99,-99,0
2018,2018-04-09,-99,0.18,-99,-99,-99,-99,-99,-99,1.65,-99,-99,-99,-99,-99,-99,-99,2.84,1.84,-99,-99,0
2018,2018-04-16,-99,0.2,-99,-99,-99,-99,-99,-99,1.43,-99,-99,-99,-99,-99,-99,-99,2.71,1.71,-99,-99,0
2018,2018-04-23,-99,0,-99,-99,-99,-99,-99,-99,1.37,-99,-99,-99,-99,-99,-99,-99,2.84,1.49,-99,-99,0
2018,2018-04-30,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,1.72,0,-99,-99,0
2018,2018-05-07,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
