WINTER,Date,STA2
1986,1986-04-07,5
1986,1986-04-14,0
1986,1986-04-21,0
1986,1986-04-28,NA
1986,1986-05-05,NA
1987,1986-12-08,6
1987,1986-12-15,11
1987,1986-12-22,22
1987,1986-12-29,22
1987,1987-01-05,33
1987,1987-01-12,46
1987,1987-01-20,42
1987,1987-01-27,55
1987,1987-02-02,64
1987,1987-02-09,65
1987,1987-02-17,60
1987,1987-02-23,62
1987,1987-03-03,75
1987,1987-03-09,62
1987,1987-03-16,69
1987,1987-03-23,68
1987,1987-03-24,NA
1987,1987-03-30,11
1987,1987-04-08,0
1987,1987-04-13,NA
1987,1987-04-20,NA
1987,1987-04-27,NA
1987,1987-05-04,NA
1988,1987-12-22,21
1988,1987-12-29,18
1988,1988-01-05,21
1988,1988-01-11,24
1988,1988-01-19,18
1988,1988-01-26,28
1988,1988-02-03,26
1988,1988-02-08,35
1988,1988-02-16,51
1988,1988-02-22,52
1988,1988-02-29,53
1988,1988-03-07,54
1988,1988-03-14,56
1988,1988-03-21,63
1988,1988-03-28,37
1988,1988-04-06,0
1988,1988-04-11,0
1988,1988-04-18,NA
1988,1988-04-25,NA
1988,1988-05-02,NA
1988,1988-05-09,NA
1988,1988-05-16,NA
1989,1988-12-19,5
1989,1988-12-27,9
1989,1989-01-03,18
1989,1989-01-09,17
1989,1989-01-17,24
1989,1989-01-23,41
1989,1989-01-30,39
1989,1989-02-07,45
1989,1989-02-13,48
1989,1989-02-22,56
1989,1989-02-27,57
1989,1989-03-06,58
1989,1989-03-13,59
1989,1989-03-20,60
1989,1989-03-27,57
1989,1989-04-03,31
1989,1989-04-10,9
1989,1989-04-17,0
1989,1989-04-24,0
1989,1989-05-01,NA
1989,1989-05-08,NA
1989,1989-05-15,NA
1990,1989-12-04,17
1990,1989-12-11,24
1990,1989-12-18,38
1990,1989-12-26,37
1990,1990-01-02,35
1990,1990-01-08,39
1990,1990-01-16,50
1990,1990-01-23,55
1990,1990-01-29,46
1990,1990-02-05,67
1990,1990-02-12,55
1990,1990-02-20,64
1990,1990-02-26,62
1990,1990-03-05,61
1990,1990-03-13,36
1990,1990-03-19,0
1990,1990-03-26,0
1990,1990-04-02,0
1990,1990-04-09,NA
1990,1990-04-16,NA
1990,1990-04-23,NA
1990,1990-04-30,NA
1990,1990-05-08,NA
1991,1990-12-17,18
1991,1990-12-26,0
1991,1991-01-02,0
1991,1991-01-07,0
1991,1991-01-14,20
1991,1991-01-22,19
1991,1991-01-28,23
1991,1991-02-04,25
1991,1991-02-11,27
1991,1991-02-19,35
1991,1991-02-25,34
1991,1991-03-05,22
1991,1991-03-11,23
1991,1991-03-18,17
1991,1991-03-25,16
1991,1991-04-01,3
1991,1991-04-08,0
1991,1991-04-15,NA
1991,1991-04-23,NA
1991,1991-04-29,NA
1991,1991-05-07,NA
1992,1991-12-10,9
1992,1991-12-16,10
1992,1991-12-23,8
1992,1991-12-30,9
1992,1992-01-06,3
1992,1992-01-13,5
1992,1992-01-21,5
1992,1992-01-27,5
1992,1992-02-03,5
1992,1992-02-10,9
1992,1992-02-18,29
1992,1992-02-24,25
1992,1992-03-02,45
1992,1992-03-09,28
1992,1992-03-16,25
1992,1992-03-23,21
1992,1992-03-30,25
1992,1992-04-06,8
1992,1992-04-13,8
1992,1992-04-20,7
1992,1992-04-27,0
1992,1992-05-04,0
1992,1992-05-11,NA
1993,1993-01-19,19
1993,1993-01-26,11
1993,1993-02-01,20
1993,1993-02-08,31
1993,1993-02-16,36
1993,1993-02-22,NA
1993,1993-02-23,48
1993,1993-02-24,NA
1993,1993-03-01,47
1993,1993-03-08,63
1993,1993-03-15,NA
1993,1993-03-16,83
1993,1993-03-18,NA
1993,1993-03-22,87
1993,1993-03-30,NA
1993,1993-03-31,26
1993,1993-04-05,40
1993,1993-04-06,NA
1993,1993-04-13,3
1993,1993-04-19,0
1993,1993-04-27,NA
1993,1993-05-03,NA
1993,1993-05-10,NA
1993,1993-05-17,NA
1993,1993-05-24,NA
1993,1993-06-02,NA
1994,1994-01-03,7
1994,1994-01-11,29
1994,1994-01-18,42
1994,1994-01-24,50
1994,1994-01-31,64
1994,1994-02-01,NA
1994,1994-02-07,61
1994,1994-02-14,67
1994,1994-02-22,44
1994,1994-02-23,NA
1994,1994-02-28,NA
1994,1994-03-01,66
1994,1994-03-07,70
1994,1994-03-08,NA
1994,1994-03-14,69
1994,1994-03-21,89
1994,1994-03-28,89
1994,1994-04-04,64
1994,1994-04-11,47
1994,1994-04-12,NA
1994,1994-04-18,7
1994,1994-04-19,NA
1994,1994-04-25,0
1994,1994-05-02,NA
1994,1994-05-09,NA
1995,1995-01-09,NA
1995,1995-01-17,0
1995,1995-02-07,9
1995,1995-02-14,9
1995,1995-02-21,20
1995,1995-03-01,44
1995,1995-03-07,32
1995,1995-03-14,36
1995,1995-03-20,23
1995,1995-03-28,0
1995,1995-04-05,NA
1995,1995-04-10,0
1995,1995-04-18,NA
1995,1995-04-25,NA
1995,1995-05-02,NA
1995,1995-05-09,NA
1996,1995-12-04,0
1996,1995-12-11,40
1996,1995-12-19,35
1996,1995-12-27,45
1996,1996-01-02,38
1996,1996-01-09,39
1996,1996-01-16,39
1996,1996-01-22,21
1996,1996-01-30,33
1996,1996-02-05,46
1996,1996-02-12,47
1996,1996-02-20,54
1996,1996-02-26,35
1996,1996-03-04,39
1996,1996-03-11,41
1996,1996-03-18,36
1996,1996-03-25,19
1996,1996-04-02,0
1996,1996-04-09,0
1996,1996-04-15,0
1996,1996-04-22,0
1996,1996-04-29,0
1996,1996-05-06,0
1996,1996-05-13,0
1996,1996-05-20,0
1996,1996-05-27,0
1997,1996-12-10,20
1997,1996-12-16,18
1997,1996-12-23,16
1997,1996-12-30,6
1997,1997-01-06,19
1997,1997-01-13,28
1997,1997-01-21,34
1997,1997-01-27,36
1997,1997-02-03,65
1997,1997-02-10,73
1997,1997-02-18,85
1997,1997-02-24,78
1997,1997-03-03,63
1997,1997-03-11,84
1997,1997-03-17,95
1997,1997-03-24,98
1997,1997-04-01,90
1997,1997-04-07,68
1997,1997-04-14,46
1997,1997-04-21,9
1997,1997-04-29,0
1997,1997-05-07,0
1997,1997-05-12,0
1997,1997-05-20,0
1997,1997-05-27,0
1998,1997-11-24,11
1998,1997-11-26,NA
1998,1997-12-01,19
1998,1997-12-08,13
1998,1997-12-15,25
1998,1997-12-22,15
1998,1997-12-29,NA
1998,1998-01-05,58
1998,1998-01-12,44
1998,1998-01-20,45
1998,1998-01-26,62
1998,1998-02-02,67
1998,1998-02-09,44
1998,1998-02-17,54
1998,1998-02-23,58
1998,1998-03-02,53
1998,1998-03-10,47
1998,1998-03-16,36
1998,1998-03-25,71
1998,1998-03-30,3
1998,1998-04-06,0
1998,1998-04-13,0
1998,1998-04-20,0
1998,1998-04-27,0
1998,1998-05-04,0
1999,1998-12-21,0
1999,1998-12-28,0
1999,1999-01-04,25
1999,1999-01-11,25
1999,1999-01-19,25
1999,1999-01-25,36
1999,1999-02-02,41
1999,1999-02-08,42
1999,1999-02-16,49
1999,1999-02-22,59
1999,1999-03-02,56
1999,1999-03-08,72
1999,1999-03-16,75
1999,1999-03-23,60
1999,1999-03-29,38
1999,1999-04-05,0
1999,1999-04-12,0
1999,1999-04-19,0
1999,1999-04-26,0
1999,1999-05-03,0
1999,1999-05-10,0
2000,2000-01-03,0
2000,2000-01-10,0
2000,2000-01-18,8
2000,2000-01-24,10
2000,2000-02-01,21
2000,2000-02-07,25
2000,2000-02-15,46
2000,2000-02-22,51
2000,2000-02-29,41
2000,2000-03-06,40
2000,2000-03-13,27
2000,2000-03-20,29
2000,2000-03-27,7
